fecha,Unnamed: 0,Unnamed: 0.1,LUGAR.INFRACCION,NOTRSAD,lat,long,accuracy,fecha,day_of_week,Month
2016-07-08,0,1,CALLE JOAQUIN CAPELLO 275 MIRAFLORES,20160708,-12.116342199999998,-77.0460017,street_address,2016-07-08,4.0,7.0
2016-09-22,1,2,CALLE MATEO PUMACAHUA 340 MIRAFLORES,20160922,-12.1727817,-76.9513118,street_address,2016-09-22,3.0,9.0
2016-08-26,2,3,CALLE SAN MARTIN 570 MIRAFLORES,20160826,-12.1263054,-77.0286067,street_address,2016-08-26,4.0,8.0
2016-09-30,3,4,CALLE 25 DE MAYO 145 MIRAFLORES,20160930,-12.1263656,-77.01463890000002,route,2016-09-30,4.0,9.0
2016-08-11,4,5,AV. 28 DE JULIO 465  MIRAFLORES,20160811,-12.128296699999998,-77.0260655,street_address,2016-08-11,3.0,8.0
2016-08-31,5,6,CALLE GENERAL SUAREZ 610 MIRAFLORES,20160831,-12.1144223,-77.0272329,street_address,2016-08-31,2.0,8.0
2016-07-08,6,7,CALLE MADRID 444 MIRAFLORES,20160708,-12.1233232,-77.0367073,street_address,2016-07-08,4.0,7.0
2016-08-26,7,8,AV. DE LA AVIACION 155  MIRAFLORES,20160826,-12.1208895,-77.04095009999998,street_address,2016-08-26,4.0,8.0
2016-07-08,8,9,CALLE SCHELL 332,20160708,-12.1229963,-77.02868659999999,street_address,2016-07-08,4.0,7.0
2016-08-10,9,10,CALLE ENRIQUE PALACIOS 291 MIRAFLORES,20160810,-12.1169547,-77.03115240000002,street_address,2016-08-10,2.0,8.0
2016-07-12,10,11,CALLE ALCANFORES 699 MIRAFLORES,20160712,-12.1265248,-77.0279472,street_address,2016-07-12,1.0,7.0
2016-07-04,11,12,AV. ANDRES A. CACERES 214 MIRAFLORES,20160704,-12.1196541,-77.0232276,street_address,2016-07-04,0.0,7.0
2016-07-13,12,13,AV. ARENALES 853 MIRAFLORES,20160713,-12.0730668,-77.037295,street_address,2016-07-13,2.0,7.0
2016-07-05,13,14,CALLE TARAPACA 247 MIRAFLORES,20160705,-12.1127164,-77.0318449,street_address,2016-07-05,1.0,7.0
2016-09-17,14,15,CALLE INDEPENDENCIA 740 MIRAFLORES,20160917,-12.1121872,-77.0322821,street_address,2016-09-17,5.0,9.0
2016-07-08,15,16,PQ. MELITON PORRAS 180 MIRAFLORES,20160708,-12.1319014,-77.0250521,street_address,2016-07-08,4.0,7.0
2016-07-08,16,17,PQ. MELITON PORRAS 379 MIRAFLORES,20160708,-12.1344703,-77.0239756,street_address,2016-07-08,4.0,7.0
2016-07-13,17,18,CALLE JUAN FANNING 436 MIRAFLORES,20160713,-12.129431599999998,-77.0308615,street_address,2016-07-13,2.0,7.0
2016-08-26,18,19,CALLE ATAHUALPA 648 MIRAFLORES,20160826,-12.1132382,-77.03114709999998,street_address,2016-08-26,4.0,8.0
2016-08-12,19,20,AV. TEJADA 531 MIRAFLORES,20160812,-12.1311799,-77.0200269,street_address,2016-08-12,4.0,8.0
2016-07-16,20,21,CALLE JUAN FANNING 458 MIRAFLORES,20160716,-12.1294386,-77.0306725,street_address,2016-07-16,5.0,7.0
2016-07-27,21,22,CALLE CANTUARIAS 311 MIRAFLORES,20160727,-12.1214071,-77.0268821,street_address,2016-07-27,2.0,7.0
2016-07-07,22,23,MLCN DE LA MARINA 716 MIRAFLORES,20160707,-12.1574979,-76.9506536,street_address,2016-07-07,3.0,7.0
2016-07-07,23,24,CALLE MANUEL BONILLA 282 MIRAFLORES,20160707,-12.120122,-77.0260969,street_address,2016-07-07,3.0,7.0
2016-07-06,24,25,CALLE MANUEL BONILLA 256 MIRAFLORES,20160706,-12.1199581,-77.0263072,street_address,2016-07-06,2.0,7.0
2016-08-08,25,26,PSJE TELLO 215 MIRAFLORES,20160808,-12.121861,-77.0284125,street_address,2016-08-08,0.0,8.0
2016-08-29,26,27,CALLE JULIAN ARIAS ARAGUEZ 450 MIRAFLORES,20160829,-12.1263978,-77.0203454,street_address,2016-08-29,0.0,8.0
2016-07-13,27,28,CALLE JUAN FANNING 600 MIRAFLORES,20160713,-12.1303366,-77.02861309999999,street_address,2016-07-13,2.0,7.0
2016-08-09,28,29,CALLE VENECIA 126 MIRAFLORES,20160809,-12.125915699999998,-77.0352186,street_address,2016-08-09,1.0,8.0
2016-08-10,29,30,CALLE ARICA 205 MIRAFLORES,20160810,-12.1178277,-77.0359053,street_address,2016-08-10,2.0,8.0
,30,31,CALLE GENERAL MENDIBURU 151 MIRAFLORES,0,-12.1177178,-77.0426485,street_address,,,
2016-08-26,31,32,CALLE ELIAS AGUIRRE 146 MIRAFLORES,20160826,-12.1185609,-77.0346965,street_address,2016-08-26,4.0,8.0
2016-09-01,32,33,CALLE TACNA 639 MIRAFLORES,20160901,-12.1080985,-77.0287739,street_address,2016-09-01,3.0,9.0
,33,34,CALLE GENERAL SUAREZ 1362 MIRAFLORES,0,-12.1065936,-77.027899,street_address,,,
2016-09-02,34,35,CALLE ENRIQUE PALACIOS 731 MIRAFLORES,20160902,-12.1170268,-77.03612,street_address,2016-09-02,4.0,9.0
2016-08-09,35,36,CALLE JOSE GONZALES 567 MIRAFLORES,20160809,-12.1294976,-77.0272959,street_address,2016-08-09,1.0,8.0
2016-08-09,36,37,AV. LA PAZ 1646 MIRAFLORES,20160809,-12.1344348,-77.02527490000001,street_address,2016-08-09,1.0,8.0
2016-09-14,37,38,CALLE COLON 686 MIRAFLORES,20160914,-12.1297889,-77.03190190000002,street_address,2016-09-14,2.0,9.0
2016-08-18,38,39,CALLE TORIBIO PACHECO 235 MIRAFLORES,20160818,-12.1157347,-77.04680959999997,street_address,2016-08-18,3.0,8.0
2016-08-09,39,40,CALLE JUAN FANNING 362 MIRAFLORES,20160809,-12.1289081,-77.0321118,street_address,2016-08-09,1.0,8.0
